timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1610354122,Mon Jan 11 2021 08:35:22 GMT+0000 (Coordinated Universal Time),11,10,1,0,-1,"test test test"
1609768475,Mon Jan 04 2021 13:54:35 GMT+0000 (Coordinated Universal Time),0,0,3422,299,1,"There should be one curriculum for everyone"
1609768482,Mon Jan 04 2021 13:54:42 GMT+0000 (Coordinated Universal Time),1,0,2192,38,1,"Every child should be educated"
1609768489,Mon Jan 04 2021 13:54:49 GMT+0000 (Coordinated Universal Time),2,0,2687,148,1,"The tax system should be improved"
1609768495,Mon Jan 04 2021 13:54:55 GMT+0000 (Coordinated Universal Time),3,0,2204,49,1,"We need to have better free healthcare for all"
1609844796,Tue Jan 05 2021 11:06:36 GMT+0000 (Coordinated Universal Time),4,1,1,0,-1,"dsgsdfg"
1609910386,Wed Jan 06 2021 05:19:46 GMT+0000 (Coordinated Universal Time),5,2,1,0,-1,"I am testing this, please let me know if it works."
1610003964,Thu Jan 07 2021 07:19:24 GMT+0000 (Coordinated Universal Time),7,4,1,0,-1,"Hi, this is again a testing comment."
1610002627,Thu Jan 07 2021 06:57:07 GMT+0000 (Coordinated Universal Time),6,3,1,0,-1,"Hi, This is testing comment."
1610011568,Thu Jan 07 2021 09:26:08 GMT+0000 (Coordinated Universal Time),8,6,1,0,-1,"testing"
1610037855,Thu Jan 07 2021 16:44:15 GMT+0000 (Coordinated Universal Time),9,7,1,0,-1,"test"
1610212684,Sat Jan 09 2021 17:18:04 GMT+0000 (Coordinated Universal Time),10,8,2495,261,1,"Bureaucracy needs a total overhaul"
1614961709,Fri Mar 05 2021 16:28:29 GMT+0000 (Coordinated Universal Time),257,338,1,0,-1,"Yes 😅😅😅😅"
1614959268,Fri Mar 05 2021 15:47:48 GMT+0000 (Coordinated Universal Time),256,336,1,0,-1,"Youth rights"
1614959252,Fri Mar 05 2021 15:47:32 GMT+0000 (Coordinated Universal Time),255,336,1,0,-1,"Digital security rights"
1611054152,Tue Jan 19 2021 11:02:32 GMT+0000 (Coordinated Universal Time),14,13,2902,193,1,"Government should provide subsidies to students and the unemployed during COVID"
1611054147,Tue Jan 19 2021 11:02:27 GMT+0000 (Coordinated Universal Time),13,13,2156,33,1,"Improve skills training for young people"
1611054093,Tue Jan 19 2021 11:01:33 GMT+0000 (Coordinated Universal Time),12,13,2766,146,1,"Govt should at least spread positivity & motivate people towards life during this Pandemic ."
1611088811,Tue Jan 19 2021 20:40:11 GMT+0000 (Coordinated Universal Time),15,0,3195,309,1,"Education criteria for technical and vocational courses should be matric or Inter instead of graduation or Masters"
1611088829,Tue Jan 19 2021 20:40:29 GMT+0000 (Coordinated Universal Time),16,0,2807,139,1,"Cleanliness, providing masks to people, keep care of social distancing and following all sops."
1611088848,Tue Jan 19 2021 20:40:48 GMT+0000 (Coordinated Universal Time),17,0,2638,126,1,"Government should give a thought about easing the treatment cost for COVID patients"
1611088858,Tue Jan 19 2021 20:40:58 GMT+0000 (Coordinated Universal Time),19,0,2335,66,1,"Awareness campaigns should be launched by Government to aware the youth about existing opportunities i.e free courses, jobs etc."
1611088863,Tue Jan 19 2021 20:41:03 GMT+0000 (Coordinated Universal Time),20,0,2983,841,1,"Gender discrimination and pay parity"
1611088869,Tue Jan 19 2021 20:41:09 GMT+0000 (Coordinated Universal Time),21,0,3894,459,1,"Facility of free internet to students for free online education needs to be provided to youth in post-COVID tenure"
1611088882,Tue Jan 19 2021 20:41:22 GMT+0000 (Coordinated Universal Time),22,0,2357,66,1,"The government should provide medicine to those who can not afford it as well as give them free treatment ."
1611088904,Tue Jan 19 2021 20:41:44 GMT+0000 (Coordinated Universal Time),23,0,6,1,-1,"Strict lockdown enforced by government while providing basic needs"
1611088851,Tue Jan 19 2021 20:40:51 GMT+0000 (Coordinated Universal Time),18,0,5,2,-1,"Build more hospitals"
1614943582,Fri Mar 05 2021 11:26:22 GMT+0000 (Coordinated Universal Time),248,325,1,0,-1,"Please do some for public the survy is not enought."
1613022669,Thu Feb 11 2021 05:51:09 GMT+0000 (Coordinated Universal Time),32,0,4,1,-1,"Cut military budget significantly and reduce involvement in state affairs"
1613022473,Thu Feb 11 2021 05:47:53 GMT+0000 (Coordinated Universal Time),30,0,2451,136,1,"Government should train teachers about how to educate children online."
1613022465,Thu Feb 11 2021 05:47:45 GMT+0000 (Coordinated Universal Time),29,0,3161,244,1,"E-Sports and sports competitions and program should be arranged by technical institutes for students"
1613022440,Thu Feb 11 2021 05:47:20 GMT+0000 (Coordinated Universal Time),27,0,2292,71,1,"Merit should be applicable in every educational and industrial organization."
1613022453,Thu Feb 11 2021 05:47:33 GMT+0000 (Coordinated Universal Time),28,0,2454,101,1,"Government should ensure the availability of public library at every educational institutes in Pakistan."
1613022412,Thu Feb 11 2021 05:46:52 GMT+0000 (Coordinated Universal Time),25,0,3039,227,1,"Government needs to take steps to address the digital divide in far-flung areas as many youth don't have laptops/cell phones/Internet"
1613022427,Thu Feb 11 2021 05:47:07 GMT+0000 (Coordinated Universal Time),26,0,6369,2551,1,"The government of Pakistan have to help poor and needy people by giving them cash."
1613117963,Fri Feb 12 2021 08:19:23 GMT+0000 (Coordinated Universal Time),34,18,2181,48,1,"Public policies have to be more responsive to citizen needs"
1613310656,Sun Feb 14 2021 13:50:56 GMT+0000 (Coordinated Universal Time),35,20,2746,155,1,"Awareness to mantain social distancing"
1613378590,Mon Feb 15 2021 08:43:10 GMT+0000 (Coordinated Universal Time),36,21,157,9,-1,"Ensure affordable, quality healthcare and housing, and ensure that women and girls have equal access to the same"
1613409350,Mon Feb 15 2021 17:15:50 GMT+0000 (Coordinated Universal Time),37,25,1,0,-1,"Testing this field"
1613465977,Tue Feb 16 2021 08:59:37 GMT+0000 (Coordinated Universal Time),38,29,1,0,-1,"pkasitan need 2 fix econmy and defeat contorl the kashmir"
