timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1592045583,Sat Jun 13 2020 10:53:03 GMT+0000 (Coordinated Universal Time),4530,3203,1,0,0,"Boris Johnson is racist."
1591725550,Tue Jun 09 2020 17:59:10 GMT+0000 (Coordinated Universal Time),2371,1740,1,0,-1,"The divisions are underlined often by Govt policies"
1592405272,Wed Jun 17 2020 14:47:52 GMT+0000 (Coordinated Universal Time),5505,3840,1,0,-1,"ALL lives matter"
1592397582,Wed Jun 17 2020 12:39:42 GMT+0000 (Coordinated Universal Time),5426,3802,1,0,-1,"Agree."
1592436643,Wed Jun 17 2020 23:30:43 GMT+0000 (Coordinated Universal Time),5754,4011,1,0,0,"The  last time we we"
1592436787,Wed Jun 17 2020 23:33:07 GMT+0000 (Coordinated Universal Time),5756,4011,1,0,0,"Tyyy"
1592443963,Thu Jun 18 2020 01:32:43 GMT+0000 (Coordinated Universal Time),5801,4056,1,0,0,"Bbcgn gjc"
1592436799,Wed Jun 17 2020 23:33:19 GMT+0000 (Coordinated Universal Time),5757,4011,1,0,0,"Thanks  again"
1592465990,Thu Jun 18 2020 07:39:50 GMT+0000 (Coordinated Universal Time),6013,4187,1,0,0,"needs a good shake up"
1592466364,Thu Jun 18 2020 07:46:04 GMT+0000 (Coordinated Universal Time),6014,4199,1,0,0,"I hate politics"
1592596970,Fri Jun 19 2020 20:02:50 GMT+0000 (Coordinated Universal Time),6277,4373,1,0,0,"I agree - refugees only now"
1592647765,Sat Jun 20 2020 10:09:25 GMT+0000 (Coordinated Universal Time),6471,4483,1,0,0,"MAKE TOTAL SENSE"
1591967820,Fri Jun 12 2020 13:17:00 GMT+0000 (Coordinated Universal Time),4128,2956,1,0,0,"In the case of this government totally agree"
1591104483,Tue Jun 02 2020 13:28:03 GMT+0000 (Coordinated Universal Time),267,153,1,0,-1,"absolutely right"
1591104524,Tue Jun 02 2020 13:28:44 GMT+0000 (Coordinated Universal Time),268,149,1,0,-1,"more funds for the NHS"
1591106188,Tue Jun 02 2020 13:56:28 GMT+0000 (Coordinated Universal Time),317,149,1,0,-1,"hunger is a problem"
1591104542,Tue Jun 02 2020 13:29:02 GMT+0000 (Coordinated Universal Time),269,149,1,0,-1,"The UK doesnt have a weapons problem"
1599238185,Fri Sep 04 2020 16:49:45 GMT+0000 (Coordinated Universal Time),7628,5342,1,0,0,"Many are"
1591106218,Tue Jun 02 2020 13:56:58 GMT+0000 (Coordinated Universal Time),319,149,539,70,1,"nurses should be better paid"
1592141437,Sun Jun 14 2020 13:30:37 GMT+0000 (Coordinated Universal Time),4979,3203,1,0,0,"Politicians have to be held to account for lies."
